ekatte,kind,name_bg,name_en,parent_ekatte,parent_name,parent_is_nuts4,area2_ekatte,area2_name,document
95251,2,Севлиевски лозя,Sevlievski lozya,65927,Севлиево,0,,,1701
95265,2,Чифлика,Chiflika,65927,Севлиево,0,,,1701
95279,2,"""Кунино Енерджи"" - АД, Сградоцентрала","""Kunino Enerdzhi"" - AD, Sgradotsentrala",40645,Кунино,0,,,1704
95282,2,"""Кунино Енерджи"" - АД, Бетонов възел","""Kunino Enerdzhi"" - AD, Betonov vazel",40645,Кунино,0,,,1704
95296,2,Индустриална зона Куклен,Industrialna zona Kuklen,40467,Куклен,0,,,1705
95306,2,Курортен комплекс Върбица,Kurorten kompleks Varbitsa,SHU10,Върбица,1,,,1810
95312,2,Пристанище,Pristanishte,56397,Пиргово,0,,,1815
95323,2,Помпена станция,Pompena stantsia,56397,Пиргово,0,,,1815
95337,2,Индустриална зона Марица,Industrialna zona Maritsa,03839,Бенковски,0,78080,Царацово,1814
95340,2,Бизнес парк Бургас 1,Biznes park Burgas 1,07079,Бургас,0,,,1821
95354,2,Бизнес парк Бургас 2,Biznes park Burgas 2,07079,Бургас,0,,,1821
95368,2,Бизнес парк Бургас 3,Biznes park Burgas 3,07079,Бургас,0,,,1821
95371,2,Бизнес парк Бургас 4,Biznes park Burgas 4,07079,Бургас,0,,,1821
95385,2,Бизнес парк Бургас 5,Biznes park Burgas 5,07079,Бургас,0,,,1821
95399,2,Фотоволтаичен парк Мочура,Fotovoltaichen park Mochura,07079,Бургас,0,,,1821
95409,2,Бизнес парк Сарафово,Biznes park Sarafovo,07079,Бургас,0,,,1821
95412,2,Бизнес парк Меден рудник,Biznes park Meden rudnik,07079,Бургас,0,,,1821
95426,2,Бизнес парк Крайморие,Biznes park Kraymorie,07079,Бургас,0,,,1821
95438,2,Рибарско селище,Ribarsko selishte,07079,Бургас,0,,,1821
95443,2,Птицата,Ptitsata,07079,Бургас,0,,,1821
95457,2,Шилото,Shiloto,07079,Бургас,0,,,1821
95460,2,Брастите - 1,Brastite - 1,07079,Бургас,0,,,1821
95474,2,Брастите - 2,Brastite - 2,07079,Бургас,0,,,1821
95488,2,Каменица - Изворите,Kamenitsa - Izvorite,07079,Бургас,0,,,1821
95491,2,Тополите,Topolite,07079,Бургас,0,,,1821
95501,2,Черни дол,Cherni dol,34120,Елешница,0,,,1854
95515,2,Росенец,Rosenets,07079,Бургас,0,,,1821
95529,2,Пирин,Pirin,61813,Разлог,0,,,1822
95532,2,Шато Бургозоне,Shato Burgozone,54020,Оряхово,0,,,1823
95546,2,Китка,Kitka,BGS18,Руен,1,,,1851
95553,2,Върбите,Varbite,BLG28,Кресна,1,,,1861
95563,2,Балабанчево,Balabanchevo,70247,Сунгурларе,0,,,1880
95577,2,Каменско,Kamensko,47096,Манолич,0,,,1880
95580,2,Черноморска панорама Ювез,Chernomorska panorama Yuvez,37099,Кичево,0,,,1884
95594,2,Хълмовете на Плана,Halmovete na Plana,65231,Самоков,0,,,1920
95604,2,Туристически комплекс Армира,Turisticheski kompleks Armira,32024,Ивайловград,0,,,1986
95618,2,Жабокрек,Zhabokrek,62671,Рила,0,,,1998
95621,2,Кичево – север,Kichevo – sever,37099,Кичево,0,,,2003
96007,2,Равно расте,Ravno raste,34120,Елешница,0,,,1854
96147,2,Побит камък,Pobit kamak,52012,Нови хан,0,,,1854
96462,2,Къмпинг – Добруджа,Kamping – Dobrudzha,83017,Шабла,0,,,1962
98212,1,"Курортен комплекс ""Слънчев бряг""","Kurorten kompleks ""Slanchev bryag""",BGS15,Несебър,1,,,222
98226,1,"Курортен комплекс ""Боровец""","Kurorten kompleks ""Borovets""",SFO39,Самоков,1,,,222
98230,1,"Курортен комплекс ""Пампорово""","Kurorten kompleks ""Pamporovo""",SML31,Смолян,1,SML38,Чепеларе,222
98260,1,"Ваканционно селище ""Дюни""","Vakantsionno selishte ""Dyuni""",BGS21,Созопол,1,,,222
99070,2,Курорт „Карандила“,Kurort „Karandila“,67338,Сливен,0,,,2010
99958,1,"Курортен комплекс ""Албена""","Kurorten kompleks ""Albena""",DOB03,Балчик,1,,,222
